direction,metric,layer,value
San→Kan,dec_cross_frac,12,0.9758
San→Kan,dec_self_ent,1,0.9542
San→Kan,dec_self_ent,2,0.6938
San→Kan,dec_self_ent,3,0.7814
San→Kan,dec_self_ent,4,0.8794
San→Kan,dec_self_ent,5,0.761
San→Kan,dec_self_ent,6,0.8435
San→Kan,dec_self_ent,7,0.7628
San→Kan,dec_self_ent,8,0.8176
San→Kan,dec_self_ent,9,0.9072
San→Kan,dec_self_ent,10,0.9499
San→Kan,dec_self_ent,11,0.9028
San→Kan,dec_self_ent,12,0.9264
Hin→San,enc_content_frac,1,0.9288
Hin→San,enc_content_frac,2,0.9497
Hin→San,enc_content_frac,3,0.9628
Hin→San,enc_content_frac,4,0.9618
Hin→San,enc_content_frac,5,0.9526
Hin→San,enc_content_frac,6,0.9475
Hin→San,enc_content_frac,7,0.945
Hin→San,enc_content_frac,8,0.9546
Hin→San,enc_content_frac,9,0.9616
Hin→San,enc_content_frac,10,0.9672
Hin→San,enc_content_frac,11,0.9669
Hin→San,enc_content_frac,12,0.9656
Hin→San,dec_cross_frac,1,0.9861
Hin→San,dec_cross_frac,2,0.9817
Hin→San,dec_cross_frac,3,0.9833
Hin→San,dec_cross_frac,4,0.9839
Hin→San,dec_cross_frac,5,0.9867
Hin→San,dec_cross_frac,6,0.9853
Hin→San,dec_cross_frac,7,0.9866
Hin→San,dec_cross_frac,8,0.9895
Hin→San,dec_cross_frac,9,0.9821
Hin→San,dec_cross_frac,10,0.9765
Hin→San,dec_cross_frac,11,0.9714
Hin→San,dec_cross_frac,12,0.9742
Hin→San,dec_self_ent,1,1.0161
Hin→San,dec_self_ent,2,0.7686
Hin→San,dec_self_ent,3,0.7848
Hin→San,dec_self_ent,4,0.978
Hin→San,dec_self_ent,5,0.7643
Hin→San,dec_self_ent,6,0.8809
Hin→San,dec_self_ent,7,0.8149
Hin→San,dec_self_ent,8,0.7866
Hin→San,dec_self_ent,9,0.9344
Hin→San,dec_self_ent,10,0.9089
Hin→San,dec_self_ent,11,0.8332
Hin→San,dec_self_ent,12,0.8431
Hin→Kan,enc_content_frac,1,0.9221
Hin→Kan,enc_content_frac,2,0.9447
Hin→Kan,enc_content_frac,3,0.9598
Hin→Kan,enc_content_frac,4,0.9583
Hin→Kan,enc_content_frac,5,0.9477
Hin→Kan,enc_content_frac,6,0.9402
Hin→Kan,enc_content_frac,7,0.9377
Hin→Kan,enc_content_frac,8,0.9489
Hin→Kan,enc_content_frac,9,0.9548
Hin→Kan,enc_content_frac,10,0.9617
Hin→Kan,enc_content_frac,11,0.9612
Hin→Kan,enc_content_frac,12,0.9591
Hin→Kan,dec_cross_frac,1,0.9842
Hin→Kan,dec_cross_frac,2,0.9776
Hin→Kan,dec_cross_frac,3,0.9794
Hin→Kan,dec_cross_frac,4,0.9781
Hin→Kan,dec_cross_frac,5,0.9851
Hin→Kan,dec_cross_frac,6,0.9798
Hin→Kan,dec_cross_frac,7,0.9812
Hin→Kan,dec_cross_frac,8,0.9847
Hin→Kan,dec_cross_frac,9,0.9746
Hin→Kan,dec_cross_frac,10,0.9637
Hin→Kan,dec_cross_frac,11,0.9602
Hin→Kan,dec_cross_frac,12,0.9668
Hin→Kan,dec_self_ent,1,0.9151
Hin→Kan,dec_self_ent,2,0.6733
Hin→Kan,dec_self_ent,3,0.7535
Hin→Kan,dec_self_ent,4,0.8272
Hin→Kan,dec_self_ent,5,0.7313
Hin→Kan,dec_self_ent,6,0.7876
Hin→Kan,dec_self_ent,7,0.7248
Hin→Kan,dec_self_ent,8,0.764
Hin→Kan,dec_self_ent,9,0.8314
Hin→Kan,dec_self_ent,10,0.8762
Hin→Kan,dec_self_ent,11,0.8181
Hin→Kan,dec_self_ent,12,0.8706
Kan→San,enc_content_frac,1,0.9366
Kan→San,enc_content_frac,2,0.9505
Kan→San,enc_content_frac,3,0.9657
Kan→San,enc_content_frac,4,0.9633
Kan→San,enc_content_frac,5,0.9509
Kan→San,enc_content_frac,6,0.9457
Kan→San,enc_content_frac,7,0.9429
Kan→San,enc_content_frac,8,0.952
Kan→San,enc_content_frac,9,0.9594
Kan→San,enc_content_frac,10,0.9656
Kan→San,enc_content_frac,11,0.9671
Kan→San,enc_content_frac,12,0.9648
Kan→San,dec_cross_frac,1,0.987
Kan→San,dec_cross_frac,2,0.9815
Kan→San,dec_cross_frac,3,0.9837
Kan→San,dec_cross_frac,4,0.9839
Kan→San,dec_cross_frac,5,0.9852
Kan→San,dec_cross_frac,6,0.9826
Kan→San,dec_cross_frac,7,0.9854
Kan→San,dec_cross_frac,8,0.989
Kan→San,dec_cross_frac,9,0.9808
Kan→San,dec_cross_frac,10,0.9746
Kan→San,dec_cross_frac,11,0.9701
Kan→San,dec_cross_frac,12,0.9729
Kan→San,dec_self_ent,1,0.9135
Kan→San,dec_self_ent,2,0.7342
Kan→San,dec_self_ent,3,0.7539
Kan→San,dec_self_ent,4,0.9271
Kan→San,dec_self_ent,5,0.7374
Kan→San,dec_self_ent,6,0.843
Kan→San,dec_self_ent,7,0.7751
Kan→San,dec_self_ent,8,0.7584
Kan→San,dec_self_ent,9,0.8918
Kan→San,dec_self_ent,10,0.8635
Kan→San,dec_self_ent,11,0.7799
Kan→San,dec_self_ent,12,0.7896
Kan→Hin,enc_content_frac,1,0.9433
Kan→Hin,enc_content_frac,2,0.9567
Kan→Hin,enc_content_frac,3,0.9682
Kan→Hin,enc_content_frac,4,0.9682
Kan→Hin,enc_content_frac,5,0.9572
Kan→Hin,enc_content_frac,6,0.954
Kan→Hin,enc_content_frac,7,0.9518
Kan→Hin,enc_content_frac,8,0.9601
Kan→Hin,enc_content_frac,9,0.9655
Kan→Hin,enc_content_frac,10,0.9716
Kan→Hin,enc_content_frac,11,0.9724
Kan→Hin,enc_content_frac,12,0.9701
Kan→Hin,dec_cross_frac,1,0.9865
Kan→Hin,dec_cross_frac,2,0.9827
Kan→Hin,dec_cross_frac,3,0.9832
Kan→Hin,dec_cross_frac,4,0.9842
Kan→Hin,dec_cross_frac,5,0.9872
Kan→Hin,dec_cross_frac,6,0.9832
Kan→Hin,dec_cross_frac,7,0.9849
Kan→Hin,dec_cross_frac,8,0.9873
Kan→Hin,dec_cross_frac,9,0.9758
Kan→Hin,dec_cross_frac,10,0.9637
Kan→Hin,dec_cross_frac,11,0.9601
Kan→Hin,dec_cross_frac,12,0.9624
Kan→Hin,dec_self_ent,1,0.977
Kan→Hin,dec_self_ent,2,0.7421
Kan→Hin,dec_self_ent,3,0.7681
Kan→Hin,dec_self_ent,4,0.9292
Kan→Hin,dec_self_ent,5,0.7494
Kan→Hin,dec_self_ent,6,0.834
Kan→Hin,dec_self_ent,7,0.7572
Kan→Hin,dec_self_ent,8,0.7626
Kan→Hin,dec_self_ent,9,0.8183
Kan→Hin,dec_self_ent,10,0.8178
Kan→Hin,dec_self_ent,11,0.7459
Kan→Hin,dec_self_ent,12,0.8172
